"kingdom","phylum","class","order","family","genus","species","A","B","C"
"Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Bulleidia","moorei",0,0,0
"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Rothia","mucilaginosa",0,0,0
"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Akkermansia","muciniphila",1.50501265869127,0,1.95996398454005
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","nanceiensis",1.95996398454005,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","neonatale",-2.70950030675198,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","nigrescens",1.95996398454005,0,0
"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","nitroreducens",0,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","nordii",-1.6843963790233,-3.34252852528512,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","obeum",1.95996398454005,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","onderdonkii",0,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","ovatus",-1.6843963790233,-3.34252852528512,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","pallens",1.95996398454005,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium","papyrosolvens",1.95996398454005,0,0
"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria","Cyanophora","paradoxa",0,0,0
"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","parainfluenzae",0,0,-1.95996398454005
"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","paraputrificum",-2.70950030675198,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Veillonella","parvula",-1.95996398454005,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens",-2.70950030675198,0,0
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","plantarum",0,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","plebeius",-1.6843963790233,-3.34252852528512,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Hespellia","porcina",1.95996398454005,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii",1.95996398454005,1.95996398454005,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","producta",1.95996398454005,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Butyricicoccus","pullicaecorum",1.95996398454005,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","purinilyticum",-2.70950030675198,0,0
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","putredinis",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","ramosum",-2.70950030675198,0,0
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","reuteri",0,0,0
"Bacteria","Proteobacteria","Betaproteobacteria","Tremblayales","Tremblayaceae","Carsonella","ruddii PV",0,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","ruminantium",-2.70950030675198,0,0
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lacrimispora","saccharolytica",2.45726339020544,0,0
