phylum,class,order,family,genus,species,n_selected_otus,A_sum,B_sum,C_sum,min_clFDR
Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio,crossotus,1,1.95996398454005,0,0,0.2695365329253274
Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Epulopiscium,unclassified Epulopiscium,1,1.95996398454005,0,0,0.2695365329253274
Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,fragi,1,0,0,0,0.269599378954
Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,inulinivorans,1,1.95996398454005,0,0,0.2699987215871127
Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,pallens,1,1.95996398454005,0,0,0.26999872158711274
Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,unclassified Prevotella,1,1.95996398454005,0,0,0.26999872158711274
Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,unclassified Leuconostocaceae,unclassified Leuconostocaceae,1,1.95996398454005,0,0,0.26999872158711274
Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Enterocloster,citroniae,1,1.95996398454005,0,0,0.26999872158711274
Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Papillibacter,cinnamivorans,1,1.95996398454005,0,0,0.26999872158711274
Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium,hungatei,1,1.95996398454005,0,0,0.26999872158711274
Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,stercorea,1,1.95996398454005,0,0,0.2705862026105821
Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Butyricicoccus,pullicaecorum,1,1.95996398454005,0,0,0.27133127382496697
Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Pseudobutyrivibrio,xylanivorans,1,1.95996398454005,0,0,0.27249030629278315
Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,human,gut metagenome,1,0,0,0,0.27328006688785006
Lentisphaerae,Lentisphaeria,Victivallales,Victivallaceae,Victivallis,vadensis,1,0,0,0,0.27328006688785006
Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Enterocloster,lavalensis,1,1.95996398454005,0,0,0.2742056230152392
Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Atopobium,unclassified Atopobium,1,1.95996398454005,0,0,0.27462930780924505
Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,unclassified Anaerostipes,1,1.95996398454005,0,0,0.27462930780924505
Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Hespellia,porcina,1,1.95996398454005,0,0,0.27462930780924505
Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,gauvreauii,1,1.95996398454005,0,0,0.27462930780924505
Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,lactaris,1,1.95996398454005,0,0,0.27462930780924505
Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Sporobacter,termitidis,1,1.95996398454005,0,0,0.27462930780924505
Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,catus,1,1.95996398454005,0,0,0.27645293831420775
